Date,Portfolio
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-08,
2018-01-09,
2018-01-10,
2018-01-11,
2018-01-12,
2018-01-16,
2018-01-17,
2018-01-18,
2018-01-19,
2018-01-22,
2018-01-23,
2018-01-24,
2018-01-25,
2018-01-26,
2018-01-29,
2018-01-30,
2018-01-31,
2018-02-01,
2018-02-02,
2018-02-05,
2018-02-06,
2018-02-07,
2018-02-08,
2018-02-09,
2018-02-12,
2018-02-13,
2018-02-14,
2018-02-15,
2018-02-16,
2018-02-20,
2018-02-21,
2018-02-22,
2018-02-23,
2018-02-26,
2018-02-27,
2018-02-28,
2018-03-01,
2018-03-02,
2018-03-05,
2018-03-06,
2018-03-07,
2018-03-08,
2018-03-09,
2018-03-12,
2018-03-13,
2018-03-14,
2018-03-15,
2018-03-16,
2018-03-19,
2018-03-20,
2018-03-21,
2018-03-22,
2018-03-23,
2018-03-26,
2018-03-27,
2018-03-28,
2018-03-29,
2018-04-02,
2018-04-03,
2018-04-04,
2018-04-05,
2018-04-06,
2018-04-09,
2018-04-10,
2018-04-11,
2018-04-12,
2018-04-13,
2018-04-16,
2018-04-17,
2018-04-18,
2018-04-19,
2018-04-20,
2018-04-23,
2018-04-24,
2018-04-25,
2018-04-26,
2018-04-27,
2018-04-30,
2018-05-01,
2018-05-02,
2018-05-03,
2018-05-04,
2018-05-07,
2018-05-08,
2018-05-09,
2018-05-10,
2018-05-11,
2018-05-14,
2018-05-15,
2018-05-16,
2018-05-17,
2018-05-18,
2018-05-21,
2018-05-22,
2018-05-23,
2018-05-24,
2018-05-25,
2018-05-29,
2018-05-30,
2018-05-31,
2018-06-01,
2018-06-04,
2018-06-05,
2018-06-06,
2018-06-07,
2018-06-08,
2018-06-11,
2018-06-12,
2018-06-13,
2018-06-14,
2018-06-15,
2018-06-18,
2018-06-19,
2018-06-20,
2018-06-21,
2018-06-22,
2018-06-25,
2018-06-26,
2018-06-27,
2018-06-28,
2018-06-29,
2018-07-02,
2018-07-03,0.7323216473138272
2018-07-05,0.7327648280695805
2018-07-06,0.7342922636162507
2018-07-09,0.7333379599553175
2018-07-10,0.7329836396034632
2018-07-11,0.7333103838800055
2018-07-12,0.7348356078929827
2018-07-13,0.7345104143326429
2018-07-16,0.7339491031902279
2018-07-17,0.73395086832184
2018-07-18,0.7344287763545659
2018-07-19,0.7340697046641442
2018-07-20,0.7346478589785411
2018-07-23,0.7338193364409732
2018-07-24,0.7334255315527853
2018-07-25,0.7343094799564681
2018-07-26,0.735218866907576
2018-07-27,0.7359279258370665
2018-07-30,0.736637412058663
2018-07-31,0.7368758713824661
2018-08-01,0.7368788541575378
2018-08-02,0.7372186529675863
2018-08-03,0.7342339177349477
2018-08-06,0.7505025783060592
2018-08-07,0.7525645946508661
2018-08-08,0.7499863963375837
2018-08-09,0.7509076117098292
2018-08-10,0.7523200602249712
2018-08-13,0.7506045097590051
2018-08-14,0.7496558806213897
2018-08-15,0.750658342813946
2018-08-16,0.7462830122533418
2018-08-17,0.7462695110192696
2018-08-20,0.7468228568182151
2018-08-21,0.745465016674139
2018-08-22,0.7451062975416668
2018-08-23,0.7411440495447865
2018-08-24,0.7426816351213711
2018-08-27,0.74093158755139
2018-08-28,0.7444578994827192
2018-08-29,0.7481839215365521
2018-08-30,0.7478043884116742
2018-08-31,0.7498641811083865
2018-09-04,0.7501729528789839
2018-09-05,0.7514795625029119
2018-09-06,0.7513033913997468
2018-09-07,0.755436351989978
2018-09-10,0.756334469622103
2018-09-11,0.755731019180928
2018-09-12,0.758383458025623
2018-09-13,0.7590794370790502
2018-09-14,0.7593623266565638
2018-09-17,0.7571633595460305
2018-09-18,0.7562031584914701
2018-09-19,0.7566224127719783
2018-09-20,0.7708975314812946
2018-09-21,0.7760741688289307
2018-09-24,0.7711358594441223
2018-09-25,0.7647858590392407
2018-09-26,0.76068382692844
2018-09-27,0.7563757884119228
2018-09-28,0.759658407497342
2018-10-01,0.7677166673461887
2018-10-02,0.7657455593894122
2018-10-03,0.7711760303706088
2018-10-04,0.8020569752375987
2018-10-05,0.8056123972425492
2018-10-08,0.8053542833868622
2018-10-09,0.806480975124068
2018-10-10,0.813129156130603
2018-10-11,0.7669461935842012
2018-10-12,0.7733132483091246
2018-10-15,0.7677530304170782
2018-10-16,0.7720006762695868
2018-10-17,0.7694256275084972
2018-10-18,0.767493291260761
2018-10-19,0.7674249818805183
2018-10-22,0.7604740855731146
2018-10-23,0.7594606887799907
2018-10-24,0.758913194729368
2018-10-25,0.766429849701836
2018-10-26,0.7661206638420215
2018-10-29,0.7697983612961914
2018-10-30,0.7664012811687902
2018-10-31,0.7695529288659475
2018-11-01,0.7691758579684231
2018-11-02,0.7728956917098455
2018-11-05,0.7713494528802435
2018-11-06,0.7731303451973293
2018-11-07,0.7757656204722643
2018-11-08,0.7764754349611728
2018-11-09,0.7776337851044736
2018-11-12,0.7767267802393817
2018-11-13,0.7766887637666897
2018-11-14,0.7753377620303709
2018-11-15,0.7775812779612905
2018-11-16,0.778404908524015
2018-11-19,0.7839546976155155
2018-11-20,0.778841376275672
2018-11-21,0.7800543036582412
2018-11-23,0.780164931235967
2018-11-26,0.7907559722541041
2018-11-27,0.7968477416974411
2018-11-28,0.7983592321758755
2018-11-29,0.7986686146125508
2018-11-30,0.7992784178192491
2018-12-03,0.8024193491698649
2018-12-04,0.7870541046574043
2018-12-06,0.7865789294055626
2018-12-07,0.7863608704353179
2018-12-10,0.7869406698422733
2018-12-11,0.786857214186234
2018-12-12,0.7872697504894722
2018-12-13,0.7862559931099327
2018-12-14,0.7857901869860477
2018-12-17,0.7813627087761824
2018-12-18,0.7816253190070225
2018-12-19,0.7812747935621641
2018-12-20,0.7780682576969278
2018-12-21,0.7815615892152306
2018-12-24,0.7706293869452705
2018-12-26,0.7623539650626736
2018-12-27,0.762020849722396
2018-12-28,0.761803449189434
2018-12-31,0.7619663542786294
2019-01-02,0.7621518444658341
2019-01-03,0.7592334632733829
2019-01-04,0.7536543455151081
2019-01-07,0.7527792364710102
2019-01-08,0.7528158918440456
2019-01-09,0.7534545418344982
2019-01-10,0.7532232575295941
2019-01-11,0.7518754956615258
2019-01-14,0.7521977349197534
2019-01-15,0.7528219023296489
2019-01-16,0.7530333733807272
2019-01-17,0.753154629356102
2019-01-18,0.7504052718536204
2019-01-22,0.7499893590085629
2019-01-23,0.7502435465436279
2019-01-24,0.750335083557948
2019-01-25,0.7501692761695963
2019-01-28,0.7500003780691866
2019-01-29,0.7495532240762752
2019-01-30,0.7508482114979034
2019-01-31,0.7518690561812437
2019-02-01,0.7516982966208885
2019-02-04,0.751055996946635
2019-02-05,0.7514425808761616
2019-02-06,0.751515471463985
2019-02-07,0.7512933256157259
2019-02-08,0.7514093769280065
2019-02-11,0.7514319876242742
2019-02-12,0.7516171204677352
2019-02-13,0.7510179539731209
2019-02-14,0.7509657982739373
2019-02-15,0.7492395326648035
2019-02-19,0.750342240677051
2019-02-20,0.7501772612622105
2019-02-21,0.7506440352767169
2019-02-22,0.7511996898102947
2019-02-25,0.751259089354437
2019-02-26,0.751147824068623
2019-02-27,0.7502765143249795
2019-02-28,0.7506323532158353
2019-03-01,0.7493791635000298
2019-03-04,0.7481590244433409
2019-03-05,0.7482514807601071
2019-03-06,0.7479162432493522
2019-03-07,0.7475347424752214
2019-03-08,0.7468969608662424
2019-03-11,0.7467989096222781
2019-03-12,0.747012574119418
2019-03-13,0.7469733838830852
2019-03-14,0.7471469302576654
2019-03-15,0.7478910544357352
2019-03-18,0.7474279373475635
2019-03-19,0.7474700899712352
2019-03-20,0.7460677241959072
2019-03-21,0.7469943346960689
2019-03-22,0.7438046372392177
2019-03-25,0.7430975746777867
2019-03-26,0.7421658999492203
2019-03-27,0.7421149411070467
2019-03-28,0.7418043302985116
2019-03-29,0.7420279042827329
2019-04-01,0.7397161103073198
2019-04-02,0.7397546181991055
2019-04-03,0.7401224981504799
2019-04-04,0.7401221316103105
2019-04-05,0.7401881996547663
2019-04-08,0.7382069522574289
2019-04-09,0.7367043238772413
2019-04-10,0.7368343279239267
2019-04-11,0.7371963619651467
2019-04-12,0.7306179738276227
2019-04-15,0.7414472519944023
2019-04-16,0.7397095508513817
2019-04-17,0.7389480700080804
2019-04-18,0.7372202749216749
2019-04-22,0.737184492993012
2019-04-23,0.735523675490519
2019-04-24,0.7352228649625522
2019-04-25,0.7358552683009404
2019-04-26,0.7363647497967433
2019-04-29,0.7321933655549229
2019-04-30,0.7286988223985325
2019-05-01,0.7271108391843052
2019-05-02,0.7251985332843406
2019-05-03,0.7281820350793637
2019-05-06,0.7270686470758141
2019-05-07,0.7245213556302943
2019-05-08,0.7223433342032977
2019-05-09,0.7230782483115903
2019-05-10,0.7227706663111063
2019-05-13,0.7193172730417903
2019-05-14,0.718693756851134
2019-05-15,0.7186278706693395
2019-05-16,0.7139053587220433
2019-05-17,0.7147498434921903
2019-05-20,0.7167943411368662
2019-05-21,0.7153451899737463
2019-05-22,0.715285649392629
2019-05-23,0.7086687230064567
2019-05-24,0.7086710997741615
