Date,SPY Only,60/40 Portfolio,Equal Weight,Balanced,Risk Parity
2018-01-03,,,,,
2018-01-04,,,,,
2018-01-05,,,,,
2018-01-08,,,,,
2018-01-09,,,,,
2018-01-10,,,,,
2018-01-11,,,,,
2018-01-12,,,,,
2018-01-16,,,,,
2018-01-17,,,,,
2018-01-18,,,,,
2018-01-19,,,,,
2018-01-22,,,,,
2018-01-23,,,,,
2018-01-24,,,,,
2018-01-25,,,,,
2018-01-26,,,,,
2018-01-29,,,,,
2018-01-30,,,,,
2018-01-31,,,,,
2018-02-01,,,,,
2018-02-02,,,,,
2018-02-05,,,,,
2018-02-06,,,,,
2018-02-07,,,,,
2018-02-08,,,,,
2018-02-09,,,,,
2018-02-12,,,,,
2018-02-13,,,,,
2018-02-14,,,,,
2018-02-15,,,,,
2018-02-16,,,,,
2018-02-20,,,,,
2018-02-21,,,,,
2018-02-22,,,,,
2018-02-23,,,,,
2018-02-26,,,,,
2018-02-27,,,,,
2018-02-28,,,,,
2018-03-01,,,,,
2018-03-02,,,,,
2018-03-05,,,,,
2018-03-06,,,,,
2018-03-07,,,,,
2018-03-08,,,,,
2018-03-09,,,,,
2018-03-12,,,,,
2018-03-13,,,,,
2018-03-14,,,,,
2018-03-15,,,,,
2018-03-16,,,,,
2018-03-19,,,,,
2018-03-20,,,,,
2018-03-21,,,,,
2018-03-22,,,,,
2018-03-23,,,,,
2018-03-26,,,,,
2018-03-27,,,,,
2018-03-28,,,,,
2018-03-29,,,,,
2018-04-02,,,,,
2018-04-03,,,,,
2018-04-04,,,,,
2018-04-05,,,,,
2018-04-06,,,,,
2018-04-09,,,,,
2018-04-10,,,,,
2018-04-11,,,,,
2018-04-12,,,,,
2018-04-13,,,,,
2018-04-16,,,,,
2018-04-17,,,,,
2018-04-18,,,,,
2018-04-19,,,,,
2018-04-20,,,,,
2018-04-23,,,,,
2018-04-24,,,,,
2018-04-25,,,,,
2018-04-26,,,,,
2018-04-27,,,,,
2018-04-30,,,,,
2018-05-01,,,,,
2018-05-02,,,,,
2018-05-03,,,,,
2018-05-04,,,,,
2018-05-07,,,,,
2018-05-08,,,,,
2018-05-09,,,,,
2018-05-10,,,,,
2018-05-11,,,,,
2018-05-14,,,,,
2018-05-15,,,,,
2018-05-16,,,,,
2018-05-17,,,,,
2018-05-18,,,,,
2018-05-21,,,,,
2018-05-22,,,,,
2018-05-23,,,,,
2018-05-24,,,,,
2018-05-25,,,,,
2018-05-29,,,,,
2018-05-30,,,,,
2018-05-31,,,,,
2018-06-01,,,,,
2018-06-04,,,,,
2018-06-05,,,,,
2018-06-06,,,,,
2018-06-07,,,,,
2018-06-08,,,,,
2018-06-11,,,,,
2018-06-12,,,,,
2018-06-13,,,,,
2018-06-14,,,,,
2018-06-15,,,,,
2018-06-18,,,,,
2018-06-19,,,,,
2018-06-20,,,,,
2018-06-21,,,,,
2018-06-22,,,,,
2018-06-25,,,,,
2018-06-26,,,,,
2018-06-27,,,,,
2018-06-28,,,,,
2018-06-29,,,,,
2018-07-02,,,,,
2018-07-03,1.0000000000000007,0.54692093667376,0.521146545322039,0.7323224806396511,0.368149697130466
2018-07-05,1.0000000000000007,0.5468357556225277,0.5220334204602483,0.7327655432538089,0.3690306571099078
2018-07-06,1.0000000000000007,0.5478773986230497,0.5231027772563076,0.73429310783689,0.36995891916596224
2018-07-09,1.0000000000000007,0.5468903165184837,0.5224466531117604,0.7333388060461973,0.3692789811581161
2018-07-10,1.0000000000000007,0.5469523230195418,0.5220957670804401,0.732984412462696,0.3690351126116856
2018-07-11,1.0000000000000007,0.5470925597998263,0.5234509368528786,0.7333112289551356,0.37065972463439684
2018-07-12,1.0000000000000007,0.5472921145566744,0.525287005976449,0.73483648206599,0.37229017932319675
2018-07-13,1.0000000000000007,0.5462868481399107,0.5244820381939334,0.7345114181565399,0.3710781775133871
2018-07-16,1.0000000000000007,0.5459481009452241,0.5229738005313347,0.733950086799851,0.369312145867119
2018-07-17,1.0000000000000007,0.5461985811904966,0.522645519020083,0.7339519792362571,0.36897323414211564
2018-07-18,1.0000000000000004,0.5459940325408397,0.5239210927709548,0.7344298996432278,0.3702966261914174
2018-07-19,1.0000000000000009,0.544791679223678,0.5235080842041158,0.7340709224616516,0.3695410580973087
2018-07-20,1.0000000000000007,0.5458748715667314,0.5238328249957521,0.7346490805546402,0.3700255456973268
2018-07-23,1.0000000000000007,0.5447142098027291,0.522588299606969,0.7338205957389874,0.36845959188917216
2018-07-24,1.0000000000000007,0.5450566468438195,0.5222412096414706,0.7334267545354101,0.3683377825121711
2018-07-25,1.0000000000000007,0.5449005204559552,0.5236472874138121,0.7343106868315017,0.3696310187045956
2018-07-26,1.0000000000000007,0.5449849356969738,0.524657955008259,0.7352199222236067,0.37048284403122694
2018-07-27,1.0000000000000007,0.5454738409265162,0.525059755348286,0.7359290366033356,0.3707934382925141
2018-07-30,1.0000000000000004,0.5445678490621527,0.5251204875660995,0.7366386326006986,0.3701846784115689
2018-07-31,1.0000000000000007,0.5432378367823494,0.5248382855333098,0.7368771401513581,0.369237391303496
2018-08-01,1.0000000000000004,0.5436091699117971,0.5250261405862715,0.7368802163420124,0.36960575390449507
2018-08-02,1.0000000000000004,0.5434225494822803,0.5250187729560042,0.7372199728564633,0.36935204622920753
2018-08-03,1.0000000000000004,0.5355732658890731,0.5178087544850913,0.7342356654463489,0.3589311478849611
2018-08-06,1.0000000000000004,0.539629201712528,0.5345511665615765,0.7505040064103344,0.37331470130918937
2018-08-07,1.0000000000000007,0.5415532760866691,0.5398631272371323,0.7525662341733568,0.3797402876818262
2018-08-08,1.0000000000000004,0.5391544989094724,0.5368058726995104,0.7499880407954657,0.37633660177152695
2018-08-09,1.0000000000000007,0.526627424306687,0.5377490678226071,0.7509097150432292,0.3727665477977651
2018-08-10,1.0000000000000007,0.527242391605056,0.5394619528568184,0.7523220892139253,0.37444036720055096
2018-08-13,1.0000000000000009,0.5236386488187191,0.5372300945749856,0.7506062025520123,0.371231665034542
2018-08-14,1.000000000000001,0.5228937137914176,0.5362134776991921,0.7496575005089814,0.3701663991612413
2018-08-15,1.0000000000000009,0.5266560901800812,0.5359041511200914,0.7506598862767162,0.3705267284784672
2018-08-16,1.0000000000000009,0.5239810939277254,0.5313017124706344,0.7462849667896668,0.3659858050580922
2018-08-17,1.0000000000000009,0.5242319803113555,0.5319403481269871,0.7462715035636112,0.36690364070488174
2018-08-20,1.0000000000000013,0.5228887066347879,0.5307387439366876,0.7468246659780159,0.3645978484289098
2018-08-21,1.0000000000000009,0.5190983800311151,0.5285761349708439,0.7454669288387438,0.3612246251031658
2018-08-22,1.0000000000000009,0.518830213701826,0.5280686128371019,0.7451082966401481,0.36066744554281577
2018-08-23,1.000000000000001,0.5102162972611256,0.5236062821875531,0.7411461786709402,0.3540503576192976
2018-08-24,1.0000000000000013,0.5096514852310694,0.5261840890686286,0.7426834656527012,0.3563698253353085
2018-08-27,1.0000000000000013,0.5050544311648992,0.5220249917362656,0.7409329795485131,0.350350155772808
2018-08-28,1.0000000000000016,0.5069411604803369,0.5254063134570726,0.744459527571575,0.35349369739404324
2018-08-29,1.0000000000000013,0.5098168815427532,0.5293468801209487,0.7481853951377848,0.3575930556375175
2018-08-30,1.0000000000000013,0.5112784831425123,0.5291855525968977,0.7478058171064924,0.3580876251761204
2018-08-31,1.0000000000000013,0.5116954352669327,0.5313274441646283,0.7498648874040997,0.3599045171165429
2018-09-04,1.0000000000000013,0.5123708470935745,0.5314526526214545,0.7501735619695554,0.36013431250547023
2018-09-05,1.0000000000000013,0.5129043648866234,0.5322308240422706,0.7514801412471139,0.3606293890220072
2018-09-06,1.0000000000000013,0.5109765367749496,0.5316288412371662,0.7513039804977797,0.3592839093320329
2018-09-07,1.0000000000000013,0.5148715808458894,0.5356073255651325,0.755436523544163,0.36356641957078195
2018-09-10,1.0000000000000013,0.515602804523552,0.5365404181902146,0.7563344731505257,0.36454604511905225
2018-09-11,1.0000000000000016,0.5157750812366295,0.5366226064493503,0.755730873491926,0.365031333928809
2018-09-12,1.0000000000000016,0.5180365283056483,0.5393093623124612,0.7583836286800208,0.3678699733365687
2018-09-13,1.0000000000000013,0.5187542287737832,0.5394626825236621,0.7590795480547787,0.36794525162118
2018-09-14,1.0000000000000013,0.5189540249895209,0.5398079582794606,0.7593625047490553,0.36830960268748403
2018-09-17,1.0000000000000016,0.5146367463649395,0.5373788616978216,0.7571636072115839,0.3648574554422798
2018-09-18,1.0000000000000016,0.5123639558369157,0.5360905684699826,0.7562033784652675,0.36292316967858756
2018-09-19,1.0000000000000016,0.5123042529072521,0.5375465127496045,0.7566226215345586,0.3645602751228617
2018-09-20,1.000000000000002,0.5217498244028009,0.550931884341757,0.7708987630472298,0.3775152770278464
2018-09-21,1.000000000000002,0.5145747653037762,0.5630019400273804,0.776074505719538,0.38789317289141223
2018-09-24,1.000000000000002,0.5120025042779063,0.5554503156811542,0.771135894460732,0.3798784565879006
2018-09-25,1.000000000000002,0.5216887640518612,0.5499029411066029,0.7647855566363025,0.3794071553016975
